Tournament_Members,Player1,Player2,Player3,Avg_Norm_Score,Avg_Norm_Cooperation_Rate,Avg_Good_Partner_Rate,Avg_Eigenmoses_Rate,Avg_Eigenjesus_Rate,Avg_Norm_CC_Distribution
"Cooperator Def,Fourteen Coop,Suspicious Tit For Tat",Cooperator Def,Fourteen Coop,Suspicious Tit For Tat,2.8402777777777772,0.7731481481481481,0.5,0.5306806635523381,0.5665183747257865,0.8055555555555555
"Cooperator Def,Fourteen Coop,Sucker Coop",Cooperator Def,Fourteen Coop,Sucker Coop,2.659722222222222,0.6305555555555555,0.5,0.1219784739563824,0.5014025575129437,0.3194444444444445
"Cooperator Def,Fourteen Coop,Sucker Defect",Cooperator Def,Fourteen Coop,Sucker Defect,2.5625,0.5879629629629629,0.5,0.035482648234171466,0.46504188316568734,0.25
"Cooperator Def,Fourteen Coop,Thirteen Coop",Cooperator Def,Fourteen Coop,Thirteen Coop,2.9375,0.9212962962962963,0.6666666666666666,0.5611086417483911,0.5734791211031167,0.875
"Cooperator Def,Fourteen Coop,Thirteen Defect",Cooperator Def,Fourteen Coop,Thirteen Defect,2.7083333333333335,0.7907407407407407,0.6666666666666666,-0.38438556469954466,0.5574426366039619,0.5416666666666666
"Cooperator Def,Fourteen Coop,Tit For Tat",Cooperator Def,Fourteen Coop,Tit For Tat,2.9166666666666665,0.9074074074074073,0.8333333333333334,0.5619033947274122,0.5738499803620947,0.8333333333333334
"Cooperator Def,Fourteen Coop,Two Coop",Cooperator Def,Fourteen Coop,Two Coop,2.7708333333333335,0.7046296296296295,0.5,0.440605933240408,0.5476845669483331,0.5416666666666666
"Cooperator Def,Fourteen Coop,Two Defect",Cooperator Def,Fourteen Coop,Two Defect,2.7083333333333335,0.6851851851851851,0.5,0.4249662483397119,0.5417676853926333,0.5416666666666666
"Cooperator Def,Fourteen Coop,Win-Shift Lose-Stay",Cooperator Def,Fourteen Coop,Win-Shift Lose-Stay,2.7083333333333335,0.6851851851851851,0.5,0.4249662483397119,0.5417676853926333,0.5416666666666666
"Cooperator Def,Fourteen Coop,Win-Shift Lose-Stay Coop",Cooperator Def,Fourteen Coop,Win-Shift Lose-Stay Coop,2.7916666666666665,0.7185185185185184,0.5,0.4558281066040733,0.5519630848391422,0.5833333333333334
"Cooperator Def,Fourteen Coop,Win-Stay Lose-Shift",Cooperator Def,Fourteen Coop,Win-Stay Lose-Shift,2.7916666666666665,0.824074074074074,0.6666666666666666,0.5512426161024816,0.5714515641529178,0.5833333333333334
